08 июн. 2026 22:15:11,272  INFO PausableInvocationsLogger - Run invocation: [f: HockeyTable.team, m: executeEventAction, rq: 9]
08 июн. 2026 22:15:11,303  INFO PausableInvocationsLogger - Interaction [f: HockeyTable.team, m: executeEventAction, rq: 9] called delayUserInteraction: MessageClientAction[caption: lsFusion, msg: Изменения были удачно записаны..., type: LOG]
08 июн. 2026 22:15:11,304  INFO PausableInvocationsLogger - Interaction [f: HockeyTable.team, m: executeEventAction, rq: 9] called delayUserInteraction: lsfusion.interop.action.HideFormClientAction@1ef545a7
08 июн. 2026 22:15:11,304  INFO PausableInvocationsLogger - Interaction [f: HockeyTable.team, m: executeEventAction, rq: 9] called delayUserInteraction: lsfusion.interop.action.DestroyFormClientAction@16c1030b
08 июн. 2026 22:15:11,305  INFO PausableInvocationsLogger - Invocation [f: HockeyTable.team, m: executeEventAction, rq: 9] finished
08 июн. 2026 22:15:11,306  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyTable.team, m: executeEventAction, rq: 9] for request #9
08 июн. 2026 22:15:11,503  INFO PausableInvocationsLogger - Interaction [f: HockeyTable.teams, m: executeEventAction, rq: 2] resumed after userInteraction: null
08 июн. 2026 22:15:11,536  INFO PausableInvocationsLogger - Invocation [f: HockeyTable.teams, m: executeEventAction, rq: 2] finished
08 июн. 2026 22:15:11,536  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyTable.teams, m: executeEventAction, rq: 2] for request #2
08 июн. 2026 22:15:11,618  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyTable.teams, m: gainedFocus, rq: 3] for request #3
08 июн. 2026 22:15:11,618  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyTable.teams, m: gainedFocus, rq: 3] for request #3
08 июн. 2026 22:15:11,618  INFO PausableInvocationsLogger - Run invocation: [f: HockeyTable.teams, m: gainedFocus, rq: 3]
08 июн. 2026 22:15:11,628  INFO PausableInvocationsLogger - Invocation [f: HockeyTable.teams, m: gainedFocus, rq: 3] finished
08 июн. 2026 22:15:11,629  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyTable.teams, m: gainedFocus, rq: 3] for request #3
08 июн. 2026 22:15:11,636  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyTable.teams, m: gainedFocus, rq: 4] for request #4
08 июн. 2026 22:15:11,638  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyTable.teams, m: gainedFocus, rq: 4] for request #4
08 июн. 2026 22:15:11,638  INFO PausableInvocationsLogger - Run invocation: [f: HockeyTable.teams, m: gainedFocus, rq: 4]
08 июн. 2026 22:15:11,641  INFO PausableInvocationsLogger - Invocation [f: HockeyTable.teams, m: gainedFocus, rq: 4] finished
